{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'rmf_frame_index', 2: 'ReplicaExchange_MinTempFrequency', 3: 'MonteCarlo_Nframe', 4: 'MonteCarlo_Acceptance_BallMover2_3', 5: 'Total_Score', 6: 'Stopwatch_None_delta_seconds', 7: 'ReplicaExchange_MaxTempFrequency', 8: 'rmf_file', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': 'develop-5a48624', 'IMP_VERSION': 'develop-5a48624'}", 10: 'MonteCarlo_Acceptance_BallMover0_1', 11: 'ReplicaExchange_CurrentTemp', 12: 'MonteCarlo_Acceptance_created rigid body mover_0', 13: 'ExcludedVolumeSphere_None', 14: 'ConnectivityRestraint_None', 15: 'MonteCarlo_Acceptance_BallMover1_2', 9: 'MonteCarlo_Temperature', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_ENVIRON': "{'VERSIONER_PYTHON_PREFER_32_BIT': 'no', 'TERM_PROGRAM_VERSION': '343.7', 'LOGNAME': 'riccardopellarin', 'USER': 'riccardopellarin', 'IMP_BIN_DIR': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin', 'PATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/algebra:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/atom:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/bayesianem:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/benchmark:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/cgal:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/container:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/core:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/crosslinkms:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/display:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/domino:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/em:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/evcov:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/example:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/foxs:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/gsl:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/isd:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kernel:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kinematics:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/kmeans:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/misc:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/modeller:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/mpi:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/multi_state:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/multifit:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/parallel:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/pepdock:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/pmi:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/rmf:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/rotamer:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/saxs:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/saxs_merge:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/score_functor:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/scratch:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/statistics:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/symmetry:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/module_bin/test:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/bin:/opt/local/bin:/opt/local/sbin:/sw/bin:/sw/lib:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/opt/X11/bin:/usr/texbin', 'DISPLAY': '/private/tmp/com.apple.launchd.kl3Q9vvxWi/org.macosforge.xquartz:0', 'TERM_PROGRAM': 'Apple_Terminal', 'LANG': 'en_US.UTF-8', 'TERM': 'xterm-256color', 'Apple_PubSub_Socket_Render': '/private/tmp/com.apple.launchd.aGinC80geS/Render', 'VERSIONER_PYTHON_VERSION': '2.7', 'SHLVL': '1', 'IMP_DATA': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/data', 'IMP_EXAMPLE_DATA': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/doc/examples', 'XPC_FLAGS': '0x0', 'IMP_TMP_DIR': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/tmp', 'HOME': '/Users/riccardopellarin', 'TERM_SESSION_ID': '1CD8B0E0-29C3-4B7A-95FA-0C4D0018FD45', 'XPC_SERVICE_NAME': '0', 'PYTHONPATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:', 'SSH_AUTH_SOCK': '/private/tmp/com.apple.launchd.6zWPZDMsdk/Listeners', 'DYLD_LIBRARY_PATH': '/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:/Users/riccardopellarin/imp-project/imp-060516/imp-fast/lib:', 'SHELL': '/bin/bash', 'TMPDIR': '/var/folders/8x/b3_nk3_12858h5q_fcc3t3nm0000gn/T/', '__CF_USER_TEXT_ENCODING': '0x1F5:0x0:0x0', 'PWD': '/Users/riccardopellarin/imp-project/T6SS_Base_Plate/data/scripts/cross-link_analysis'}"} 
{0: '0', 1: 0, 2: '0', 3: '0', 4: '0.9', 5: '0.228587833419', 6: '0.126934', 7: '0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.7', 11: '1.0', 12: '1.0', 13: '0.205735011169', 14: '0.0', 15: '0.7'} 
{0: '0.0', 1: 51, 2: '1.0', 3: '51', 4: '0.565384615385', 5: '0.0', 6: '0.032796', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.667307692308', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.651923076923'} 
{0: '0.0', 1: 52, 2: '1.0', 3: '52', 4: '0.566037735849', 5: '0.241766965891', 6: '0.038405', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.667924528302', 11: '1.0', 12: '1.0', 13: '0.241766965891', 14: '0.0', 15: '0.654716981132'} 
{0: '0.0', 1: 53, 2: '1.0', 3: '53', 4: '0.57037037037', 5: '0.688163649441', 6: '0.03384', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.666666666667', 11: '1.0', 12: '1.0', 13: '0.688163649441', 14: '0.0', 15: '0.655555555556'} 
{0: '0.0', 1: 54, 2: '1.0', 3: '54', 4: '0.574545454545', 5: '0.776110805964', 6: '0.038731', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.661818181818', 11: '1.0', 12: '1.0', 13: '0.776110805964', 14: '0.0', 15: '0.656363636364'} 
{0: '0.0', 1: 55, 2: '1.0', 3: '55', 4: '0.573214285714', 5: '0.267153705563', 6: '0.033675', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.657142857143', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.267153705563', 15: '0.657142857143'} 
{0: '0.0', 1: 56, 2: '1.0', 3: '56', 4: '0.577192982456', 5: '0.122040701121', 6: '0.034966', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.650877192982', 11: '1.0', 12: '1.0', 13: '0.122040701121', 14: '0.0', 15: '0.650877192982'} 
{0: '0.0', 1: 57, 2: '1.0', 3: '57', 4: '0.58275862069', 5: '0.0861313113269', 6: '0.033574', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.646551724138', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.65'} 
{0: '0.0', 1: 58, 2: '1.0', 3: '58', 4: '0.584745762712', 5: '4.13806274784', 6: '0.036285', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.649152542373', 11: '1.0', 12: '1.0', 13: '2.03939360295', 14: '0.0', 15: '0.652542372881'} 
{0: '0.0', 1: 59, 2: '1.0', 3: '59', 4: '0.586666666667', 5: '0.560779744104', 6: '0.033822', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.646666666667', 11: '1.0', 12: '1.0', 13: '0.560779744104', 14: '0.0', 15: '0.651666666667'} 
{0: '0.0', 1: 60, 2: '1.0', 3: '60', 4: '0.585245901639', 5: '0.0', 6: '0.037028', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.649180327869', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.654098360656'} 
{0: '0.0', 1: 61, 2: '1.0', 3: '61', 4: '0.585483870968', 5: '0.236553738716', 6: '0.037127', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.648387096774', 11: '1.0', 12: '1.0', 13: '0.236553738716', 14: '0.0', 15: '0.653225806452'} 
{0: '0.0', 1: 62, 2: '1.0', 3: '62', 4: '0.584126984127', 5: '0.491518869564', 6: '0.033946', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.649206349206', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.653968253968'} 
{0: '0.0', 1: 63, 2: '1.0', 3: '63', 4: '0.5859375', 5: '0.0', 6: '0.035194', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.6453125', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.653125'} 
{0: '0.0', 1: 64, 2: '1.0', 3: '64', 4: '0.589230769231', 5: '0.0212045391632', 6: '0.036799', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.647692307692', 11: '1.0', 12: '1.0', 13: '0.0212045391632', 14: '0.0', 15: '0.655384615385'} 
{0: '0.0', 1: 65, 2: '1.0', 3: '65', 4: '0.590909090909', 5: '0.0480624649772', 6: '0.051985', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.645454545455', 11: '1.0', 12: '1.0', 13: '0.0480624649772', 14: '0.0', 15: '0.656060606061'} 
{0: '0.0', 1: 66, 2: '1.0', 3: '66', 4: '0.59552238806', 5: '2.085707123', 6: '0.045462', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.644776119403', 11: '1.0', 12: '1.0', 13: '2.085707123', 14: '0.0', 15: '0.65223880597'} 
{0: '0.0', 1: 67, 2: '1.0', 3: '67', 4: '0.595588235294', 5: '0.820215374246', 6: '0.042362', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.65', 11: '1.0', 12: '1.0', 13: '0.820215374246', 14: '0.0', 15: '0.654411764706'} 
{0: '0.0', 1: 68, 2: '1.0', 3: '68', 4: '0.594202898551', 5: '1.12761319112', 6: '0.035536', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.653623188406', 11: '1.0', 12: '1.0', 13: '1.10888707667', 14: '0.0', 15: '0.65652173913'} 
{0: '0.0', 1: 69, 2: '1.0', 3: '69', 4: '0.594285714286', 5: '0.378220118556', 6: '0.035802', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.651428571429', 11: '1.0', 12: '1.0', 13: '0.375787930328', 14: '0.0', 15: '0.657142857143'} 
{0: '0.0', 1: 70, 2: '1.0', 3: '70', 4: '0.594366197183', 5: '1.50154378682', 6: '0.033714', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.652112676056', 11: '1.0', 12: '1.0', 13: '1.50154378682', 14: '0.0', 15: '0.660563380282'} 
{0: '0.0', 1: 71, 2: '1.0', 3: '71', 4: '0.594444444444', 5: '0.00107181723999', 6: '0.036402', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.652777777778', 11: '1.0', 12: '1.0', 13: '0.00107181723999', 14: '0.0', 15: '0.659722222222'} 
{0: '0.0', 1: 72, 2: '1.0', 3: '72', 4: '0.594520547945', 5: '0.0142700863058', 6: '0.034614', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.653424657534', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0142700863058', 15: '0.658904109589'} 
{0: '0.0', 1: 73, 2: '1.0', 3: '73', 4: '0.594594594595', 5: '0.480953108128', 6: '0.036023', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.655405405405', 11: '1.0', 12: '1.0', 13: '0.480953108128', 14: '0.0', 15: '0.658108108108'} 
{0: '0.0', 1: 74, 2: '1.0', 3: '74', 4: '0.596', 5: '0.0312094278703', 6: '0.036845', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.658666666667', 11: '1.0', 12: '1.0', 13: '0.0312094278703', 14: '0.0', 15: '0.661333333333'} 
{0: '0.0', 1: 75, 2: '1.0', 3: '75', 4: '0.594736842105', 5: '0.0250527458859', 6: '0.033758', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.661842105263', 11: '1.0', 12: '1.0', 13: '0.0250527458859', 14: '0.0', 15: '0.661842105263'} 
{0: '0.0', 1: 76, 2: '1.0', 3: '76', 4: '0.594805194805', 5: '0.122024891437', 6: '0.035653', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.661038961039', 11: '1.0', 12: '1.0', 13: '0.122024891437', 14: '0.0', 15: '0.661038961039'} 
{0: '0.0', 1: 77, 2: '1.0', 3: '77', 4: '0.594871794872', 5: '0.291497838909', 6: '0.033536', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.660256410256', 11: '1.0', 12: '1.0', 13: '0.235934837134', 14: '0.0', 15: '0.657692307692'} 
{0: '0.0', 1: 78, 2: '1.0', 3: '78', 4: '0.591139240506', 5: '3.19681887048', 6: '0.035069', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.660759493671', 11: '1.0', 12: '1.0', 13: '1.60071640264', 14: '0.0', 15: '0.654430379747'} 
{0: '0.0', 1: 79, 2: '1.0', 3: '79', 4: '0.59', 5: '0.547196326821', 6: '0.035704', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.66', 11: '1.0', 12: '1.0', 13: '0.547196326821', 14: '0.0', 15: '0.65375'} 
{0: '0.0', 1: 80, 2: '1.0', 3: '80', 4: '0.592592592593', 5: '0.154653109118', 6: '0.033409', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.66049382716', 11: '1.0', 12: '1.0', 13: '0.154653109118', 14: '0.0', 15: '0.653086419753'} 
{0: '0.0', 1: 81, 2: '1.0', 3: '81', 4: '0.59512195122', 5: '0.0', 6: '0.040337', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.660975609756', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.65243902439'} 
{0: '0.0', 1: 82, 2: '1.0', 3: '82', 4: '0.597590361446', 5: '1.04521681876', 6: '0.033381', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.659036144578', 11: '1.0', 12: '1.0', 13: '1.04521681876', 14: '0.0', 15: '0.653012048193'} 
{0: '0.0', 1: 83, 2: '1.0', 3: '83', 4: '0.596428571429', 5: '0.504681621308', 6: '0.035457', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.660714285714', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.504681621308', 15: '0.653571428571'} 
{0: '0.0', 1: 84, 2: '1.0', 3: '84', 4: '0.598823529412', 5: '0.00610173567512', 6: '0.033654', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.663529411765', 11: '1.0', 12: '1.0', 13: '0.00610173567512', 14: '0.0', 15: '0.655294117647'} 
{0: '0.0', 1: 85, 2: '1.0', 3: '85', 4: '0.6', 5: '0.994005962439', 6: '0.036547', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.666279069767', 11: '1.0', 12: '1.0', 13: '0.994005962439', 14: '0.0', 15: '0.656976744186'} 
{0: '0.0', 1: 86, 2: '1.0', 3: '86', 4: '0.6', 5: '0.0', 6: '0.033158', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.665517241379', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.65632183908'} 
{0: '0.0', 1: 87, 2: '1.0', 3: '87', 4: '0.597727272727', 5: '0.0', 6: '0.035873', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.668181818182', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.656818181818'} 
{0: '0.0', 1: 88, 2: '1.0', 3: '88', 4: '0.6', 5: '0.285239799529', 6: '0.03359', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.669662921348', 11: '1.0', 12: '1.0', 13: '0.285239799529', 14: '0.0', 15: '0.657303370787'} 
{0: '0.0', 1: 89, 2: '1.0', 3: '89', 4: '0.603333333333', 5: '0.173808334022', 6: '0.037041', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.672222222222', 11: '1.0', 12: '1.0', 13: '0.173808334022', 14: '0.0', 15: '0.656666666667'} 
{0: '0.0', 1: 90, 2: '1.0', 3: '90', 4: '0.604395604396', 5: '0.0771977956163', 6: '0.033378', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.67032967033', 11: '1.0', 12: '1.0', 13: '0.0771977956163', 14: '0.0', 15: '0.656043956044'} 
{0: '0.0', 1: 91, 2: '1.0', 3: '91', 4: '0.604347826087', 5: '0.590846222331', 6: '0.035122', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.667391304348', 11: '1.0', 12: '1.0', 13: '0.00315346750832', 14: '0.587692754823', 15: '0.653260869565'} 
{0: '0.0', 1: 92, 2: '1.0', 3: '92', 4: '0.60752688172', 5: '0.0', 6: '0.033355', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.666666666667', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.0', 15: '0.652688172043'} 
{0: '0.0', 1: 93, 2: '1.0', 3: '93', 4: '0.608510638298', 5: '0.399701569379', 6: '0.035509', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.665957446809', 11: '1.0', 12: '1.0', 13: '0.399701569379', 14: '0.0', 15: '0.651063829787'} 
{0: '0.0', 1: 94, 2: '1.0', 3: '94', 4: '0.608421052632', 5: '1.02010592951', 6: '0.032633', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.661052631579', 11: '1.0', 12: '1.0', 13: '1.00979889578', 14: '0.0', 15: '0.650526315789'} 
{0: '0.0', 1: 95, 2: '1.0', 3: '95', 4: '0.610416666667', 5: '0.958455572203', 6: '0.036949', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.658333333333', 11: '1.0', 12: '1.0', 13: '0.958455572203', 14: '0.0', 15: '0.65'} 
{0: '0.0', 1: 96, 2: '1.0', 3: '96', 4: '0.60824742268', 5: '0.894744213956', 6: '0.034454', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.656701030928', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.894744213956', 15: '0.650515463918'} 
{0: '0.0', 1: 97, 2: '1.0', 3: '97', 4: '0.605102040816', 5: '0.0374231126446', 6: '0.037292', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.65306122449', 11: '1.0', 12: '1.0', 13: '0.0374231126446', 14: '0.0', 15: '0.652040816327'} 
{0: '0.0', 1: 98, 2: '1.0', 3: '98', 4: '0.60404040404', 5: '0.404396459949', 6: '0.037618', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.653535353535', 11: '1.0', 12: '1.0', 13: '0.0', 14: '0.404396459949', 15: '0.654545454545'} 
{0: '0.0', 1: 99, 2: '1.0', 3: '99', 4: '0.604', 5: '1.17537673914', 6: '0.037707', 7: '0.0', 8: 'output_VgrG//rmfs//0.rmf3', 9: '1.0', 10: '0.655', 11: '1.0', 12: '1.0', 13: '1.17537673914', 14: '0.0', 15: '0.655'} 
